OUTLET NAME,MERCHANT NAME,ADDRESS1,ADDRESS2,AREA,CITY,PINCODE,STATE,NEW CATEGORY,ENABLED WITH BQR CODE
Trishna Restaurant,Rjb Hospitality And Kitchen,"No 663, Ground Floor, Ombr Layout","5th Main, Banswadi",Banswadi,Bangalore,560043,Karnataka,FAST FOOD,NO
Jagannath Ruldu Ram,Jagannath Ruldu Ram,Panditwari,Opp Polic Chowki,Opp Polic Chowki,Dehradun,248007,Uttarakhand,SUPER MARKET,YES
Sanand Super Mall,Uday Retails,"2nd Floor, Mun No 542/30 To 41",Parth Avenue,"Mochi Bazar, Sanand",Ahmedabad,382110,Gujarat,SUPER MARKET,NO
Shivam Departmental Stores,Shivam Departmental Stores,"300/107, Theppakulam Street","Sankari Main Road, Opp. Iob Bank",Tiruchengode,Thiruchengode,637211,Tamil Nadu,SUPER MARKET,YES
S K Foods,S K Foods,Nehru Nagar,M G Road,M G Road,Agra,282003,Uttar Pradesh,SUPER MARKET,YES
D And D Supermarts Llp,D And D Supermarts Llp,"1st Floor Shop No 7,8,9, Site No 3 To 10","Grl Complex, Pattanagere Village",Near Global Village,Bangalore,560098,Karnataka,SUPER MARKET,NO
New Sahas Dhanya Bhandar,New Sahas Dhanya Bhandar,Shop No 6-7 Sainath Krupa Saibaba,Palace New Ayre Road,Dombivali East,Thane,421201,Maharashtra,SUPER MARKET,YES
New Colombo Stores Family Mart,New Colombo Stores Family Mart,"No. 42-B, Police Station Street",Gobichettipalayam,Gobichettipalayam,Chettipalayam,638476,Tamil Nadu,SUPER MARKET,YES
Ags Super Bazaar,Ags Super Bazaar,No 7 Usha Nagar,Nandhivaram Main Road,Guduvancherry,Chennai,603202,Tamil Nadu,SUPER MARKET,YES
Balaji Grand Bazar,Balaji Grand Bazar,Counter 1 G Floor,Manjeera Diamond Road,Nalagandla,Hyderabad,501508,Telangana,SUPER MARKET,YES
Suresh General Store,Suresh General Store,Booth No.149,Sector37-C,Sector - 37c,Chandigarh,160036,Chandigarh,SUPER MARKET,YES
Ganga Sweets,Ganga Sweets,Tambaram Railway Station West,Tambaram,Tambaram,Chennai,600045,Tamil Nadu,SWEETS /BAKERIES / DRY FRUITS / DAIRY PRODUCTS/  OTHERS,YES
Ganga Sweets,Ganga Sweets,Tambaram Railway Station East,Tambaram,Tambaram East,Chennai,600045,Tamil Nadu,SWEETS /BAKERIES / DRY FRUITS / DAIRY PRODUCTS/  OTHERS,YES
Hari Om Traders,Hari Om Traders,1st Floor Gandhi Bhawan,Market Complex,Gourpada Chowk,Bargarh,768028,Orissa,SUPER MARKET,YES
Sara,Sara,"No 844 17th Cross, Siri Complex","A-Block, Sahakar Nagar",Sahakar Nagar,Bangalore,560092,Karnataka,SUPER MARKET,YES
Almond House,Almond House Private Limited,1 8 303 33 1 Sanaiplaza,Sardar Patel Road,Secunderabad,Secunderabad,500003,Telangana,SWEETS /BAKERIES / DRY FRUITS / DAIRY PRODUCTS/  OTHERS,YES
Almond House,Almond House Private Limited,91 1 109 To 112 Aalliance Bay,Sarojinidevi Road,Sarojinidevi Road,Secunderabad,500003,Telangana,SWEETS /BAKERIES / DRY FRUITS / DAIRY PRODUCTS/  OTHERS,YES
